@relation german
@attribute StatusAccount {A11, A12, A14, A13}
@attribute DurationMonth integer [4, 72]
@attribute CreditHistory {A34, A32, A33, A30, A31}
@attribute Purpose {A43, A46, A42, A40, A41, A49, A44, A45, A410, A48}
@attribute CreditAmount integer [250, 18424]
@attribute SavingsAccount {A65, A61, A63, A64, A62}
@attribute EmploymentSince {A75, A73, A74, A71, A72}
@attribute InstallmentRate integer [1, 4]
@attribute StatusAndSex {A93, A92, A91, A94}
@attribute Guarantors {A101, A103, A102}
@attribute ResidenceSince integer [1, 4]
@attribute Property {A121, A122, A124, A123}
@attribute Age integer [19, 75]
@attribute InstallmentPlans {A143, A141, A142}
@attribute Housing {A152, A153, A151}
@attribute NCredits integer [1, 4]
@attribute Job {A173, A172, A174, A171}
@attribute NPeopleMain integer [1, 2]
@attribute Telephone {A192, A191}
@attribute ForeignWorker {A201, A202}
@attribute Customer {1,2}
@inputs StatusAccount, DurationMonth, CreditHistory, Purpose, CreditAmount, SavingsAccount, EmploymentSince, InstallmentRate, StatusAndSex, Guarantors, ResidenceSince, Property, Age, InstallmentPlans, Housing, NCredits, Job, NPeopleMain, Telephone, ForeignWorker
@outputs Customer
@data
A14, 12.0, A34, A46, 2096.0, A61, A74, 2, A93, A101, 3.0, A121, 49.0, A143, A152, 1.0, A172, 2, A191, A201, 1
A11, 24.0, A33, A40, 4870.0, A61, A73, 3, A93, A101, 4.0, A124, 53.0, A143, A153, 2.0, A173, 2, A191, A201, 2
A14, 24.0, A32, A42, 2835.0, A63, A75, 3, A93, A101, 4.0, A122, 53.0, A143, A152, 1.0, A173, 1, A191, A201, 1
A11, 15.0, A32, A40, 1403.0, A61, A73, 2, A92, A101, 4.0, A123, 28.0, A143, A151, 1.0, A173, 1, A191, A201, 1
A14, 10.0, A34, A42, 2069.0, A65, A73, 2, A94, A101, 1.0, A123, 26.0, A143, A152, 2.0, A173, 1, A191, A202, 1
A11, 60.0, A33, A49, 6836.0, A61, A75, 3, A93, A101, 4.0, A124, 63.0, A143, A152, 2.0, A173, 1, A192, A201, 2
A11, 24.0, A32, A42, 4020.0, A61, A73, 2, A93, A101, 2.0, A123, 27.0, A142, A152, 1.0, A173, 1, A191, A201, 1
A12, 9.0, A32, A43, 458.0, A61, A73, 4, A93, A101, 3.0, A121, 24.0, A143, A152, 1.0, A173, 1, A191, A201, 1
A12, 18.0, A33, A45, 6204.0, A61, A73, 2, A93, A101, 4.0, A121, 44.0, A143, A152, 1.0, A172, 2, A192, A201, 1
A14, 27.0, A32, A45, 5190.0, A65, A75, 4, A93, A101, 4.0, A122, 48.0, A143, A152, 4.0, A173, 2, A192, A201, 1
A12, 42.0, A34, A49, 5954.0, A61, A74, 2, A92, A101, 1.0, A121, 41.0, A141, A152, 2.0, A172, 1, A191, A201, 1
A14, 54.0, A30, A41, 9436.0, A65, A73, 2, A93, A101, 2.0, A122, 39.0, A143, A152, 1.0, A172, 2, A191, A201, 1
A14, 15.0, A32, A43, 1213.0, A63, A75, 4, A93, A101, 3.0, A122, 47.0, A142, A152, 1.0, A173, 1, A192, A201, 1
A11, 10.0, A32, A43, 2315.0, A61, A75, 3, A93, A101, 4.0, A121, 52.0, A143, A152, 1.0, A172, 1, A191, A201, 1
A11, 18.0, A32, A40, 2249.0, A62, A74, 4, A93, A101, 3.0, A123, 30.0, A143, A152, 1.0, A174, 2, A192, A201, 1
A14, 12.0, A34, A46, 2012.0, A65, A74, 4, A92, A101, 2.0, A123, 61.0, A143, A152, 1.0, A173, 1, A191, A201, 1
A12, 36.0, A32, A43, 2323.0, A61, A74, 4, A93, A101, 4.0, A123, 24.0, A143, A151, 1.0, A173, 1, A191, A201, 1
A14, 18.0, A31, A40, 6458.0, A61, A75, 2, A93, A101, 4.0, A124, 39.0, A141, A152, 2.0, A174, 2, A192, A201, 2
A12, 6.0, A33, A49, 1449.0, A62, A75, 1, A91, A101, 2.0, A123, 31.0, A141, A152, 2.0, A173, 2, A191, A201, 1
A11, 42.0, A32, A43, 7174.0, A65, A74, 4, A92, A101, 3.0, A123, 30.0, A143, A152, 1.0, A174, 1, A192, A201, 2
A13, 10.0, A34, A40, 781.0, A61, A75, 4, A93, A101, 4.0, A124, 63.0, A143, A153, 2.0, A173, 1, A192, A201, 1
A12, 48.0, A32, A40, 8487.0, A65, A74, 1, A92, A101, 2.0, A123, 24.0, A143, A152, 1.0, A173, 1, A191, A201, 1
A14, 15.0, A32, A42, 2708.0, A61, A72, 2, A93, A101, 3.0, A122, 27.0, A141, A152, 2.0, A172, 1, A191, A201, 1
A14, 18.0, A32, A42, 1984.0, A61, A73, 4, A93, A101, 4.0, A124, 47.0, A141, A153, 2.0, A173, 1, A191, A201, 1
A12, 15.0, A34, A43, 2728.0, A65, A74, 4, A93, A103, 2.0, A121, 35.0, A141, A152, 3.0, A173, 1, A192, A201, 1
