@relation shuttle
@attribute A1 integer[27,126]
@attribute A2 integer[-4821,5075]
@attribute A3 integer[21,149]
@attribute A4 integer[-3939,3830]
@attribute A5 integer[-188,436]
@attribute A6 integer[-26739,15164]
@attribute A7 integer[-48,105]
@attribute A8 integer[-353,270]
@attribute A9 integer[-356,266]
@attribute Class {1, 2, 3, 4, 5, 6, 7}
@inputs A1, A2, A3, A4, A5, A6, A7, A8, A9
@outputs Class
@data
53, 0, 82, 0, 52, -5, 29, 30, 2, 1
85, 0, 88, -4, 6, 1, 3, 83, 80, 5
56, 0, 81, 0, -4, 11, 25, 86, 62, 4
49, 3, 82, 0, 50, 4, 33, 33, 0, 1
37, -5, 76, 0, 28, 0, 40, 48, 8, 1
56, 0, 81, 0, 56, 0, 24, 24, 0, 1
41, 1, 86, 2, 42, 14, 45, 45, 0, 1
45, 0, 79, 0, 44, -4, 34, 35, 2, 1
56, 0, 79, 0, -2, -24, 24, 82, 58, 4
37, 0, 75, -1, 36, 0, 38, 39, 0, 1
49, 0, 87, -7, 46, -25, 38, 41, 2, 1
53, -1, 87, -5, 52, -10, 34, 35, 2, 1
37, 0, 106, -1, 34, 0, 68, 72, 4, 1
55, -2, 108, 0, 54, -3, 52, 53, 2, 1
48, 1, 81, -1, 46, 0, 33, 34, 2, 1
36, -1, 81, 0, 36, 0, 45, 45, 0, 1
41, -1, 89, 0, 38, -14, 48, 50, 2, 1
55, 0, 92, 0, -4, 22, 36, 97, 60, 4
44, 0, 83, -1, 44, 0, 38, 39, 0, 1
46, 0, 88, 0, 46, 0, 41, 41, 0, 1
45, 2, 76, -3, 44, -5, 31, 32, 0, 1
37, 0, 77, 1, 36, 0, 41, 41, 0, 1
37, 0, 81, 0, 38, 7, 43, 42, 0, 1
37, 0, 77, 0, 26, -19, 41, 52, 10, 1
37, -6, 78, 0, 10, 0, 42, 68, 26, 1
56, 0, 82, 0, 56, 10, 26, 25, 0, 1
37, 0, 93, 0, 16, 4, 55, 77, 22, 1
37, 0, 79, -4, 24, 0, 42, 55, 14, 1
56, 0, 80, 0, 54, -15, 24, 26, 2, 1
78, -2, 82, 0, -40, 0, 4, 123, 120, 5
78, 0, 82, -2, -40, 0, 4, 123, 120, 5
107, -2, 108, -2, 70, -28, 1, 38, 38, 5
42, -1, 78, 0, 42, 0, 36, 37, 2, 1
42, 5, 82, 0, 42, 0, 40, 41, 0, 1
46, 0, 77, 5, 46, 0, 31, 30, 0, 1
55, 0, 82, 0, -24, -16, 26, 108, 82, 4
37, 0, 77, 1, 20, 0, 40, 56, 16, 1
47, -4, 86, 0, 46, 0, 39, 39, 0, 1
41, 1, 108, 0, 42, 10, 66, 66, 0, 1
55, 0, 98, -3, 50, 18, 42, 49, 6, 4
56, 3, 85, 0, 56, 23, 29, 28, 0, 1
37, 0, 78, 0, 12, -9, 41, 65, 24, 1
37, 0, 78, 0, 2, -24, 42, 75, 34, 1
43, -1, 76, 0, 44, 19, 32, 32, 0, 1
48, 0, 81, -4, 46, 0, 32, 34, 2, 1
44, 0, 86, 0, 42, -19, 42, 44, 2, 1
107, -4, 108, 0, 70, 0, 1, 38, 36, 5
49, 1, 106, 0, 46, -3, 58, 60, 2, 1
45, 1, 86, -3, 44, 0, 40, 42, 2, 1
62, 0, 109, 0, 62, 11, 48, 47, 0, 1
37, 0, 77, 0, 34, -2, 40, 44, 4, 1
41, -3, 78, 0, 42, 12, 37, 37, 0, 1
46, 0, 88, 0, 44, -26, 42, 44, 2, 1
37, 0, 77, 0, 28, 511, 40, 48, 8, 1
55, 0, 82, 0, -12, -13, 26, 95, 68, 4
51, 5, 102, 0, 52, 9, 51, 50, 0, 1
45, 0, 86, 6, 44, -12, 41, 42, 2, 1
50, 3, 77, 5, 50, 0, 27, 28, 2, 1
37, 0, 77, 0, -24, -3, 41, 103, 62, 1
46, 2, 83, 0, 46, 10, 37, 37, 0, 1
37, 0, 95, 0, 16, -7, 58, 79, 22, 1
37, 0, 78, 0, 18, -5, 41, 60, 18, 1
43, 1, 76, 0, 42, 0, 33, 34, 2, 1
56, 0, 95, 0, 56, 4, 39, 39, 0, 1
48, 4, 77, 0, 46, 0, 28, 30, 2, 1
55, 0, 92, 0, -4, 5, 36, 97, 60, 4
37, 0, 81, 0, 12, -1, 44, 68, 24, 1
44, -1, 79, 0, 42, -30, 36, 38, 2, 1
49, 0, 84, 3, 50, 0, 35, 35, 0, 1
37, 0, 77, 1, 26, 9, 40, 51, 12, 1
37, 0, 83, 0, 28, 10, 46, 54, 8, 1
55, 1, 86, 0, 54, 0, 32, 32, 0, 1
50, 0, 86, 6, 50, 0, 36, 37, 0, 1
42, -1, 106, 0, 42, 0, 63, 64, 2, 1
55, -1, 83, 4, 54, 0, 29, 29, 0, 1
45, 0, 86, 1, 44, 0, 42, 42, 0, 1
44, 0, 79, 0, 44, 14, 36, 35, 0, 1
56, 4, 91, 0, 56, 6, 35, 34, 0, 1
55, 0, 90, 0, 54, -2, 34, 35, 2, 1
44, -3, 77, 0, 44, -1, 33, 33, 0, 1
44, 1, 87, 0, 42, -20, 43, 46, 2, 1
46, 0, 86, -1, 46, 1, 40, 39, 0, 1
41, 1, 97, 0, 42, 31, 56, 55, 0, 1
56, 0, 76, 0, -10, 15, 20, 86, 66, 4
38, 1, 77, 1, 38, 0, 39, 38, 0, 1
55, 0, 78, 4, 10, 5, 23, 68, 46, 4
43, 0, 76, 1, 42, -4, 33, 35, 2, 1
