@relation spectfheart
@attribute F1R integer[23,83]
@attribute F1S integer[21,81]
@attribute F2R integer[38,82]
@attribute F2S integer[34,84]
@attribute F3R integer[21,82]
@attribute F3S integer[25,89]
@attribute F4R integer[21,85]
@attribute F4S integer[20,83]
@attribute F5R integer[12,77]
@attribute F5S integer[22,78]
@attribute F6R integer[11,81]
@attribute F6S integer[12,82]
@attribute F7R integer[32,79]
@attribute F7S integer[28,80]
@attribute F8R integer[23,77]
@attribute F8S integer[8,77]
@attribute F9R integer[3,80]
@attribute F9S integer[11,83]
@attribute F10R integer[35,86]
@attribute F10S integer[17,81]
@attribute F11R integer[36,86]
@attribute F11S integer[40,86]
@attribute F12R integer[27,84]
@attribute F12S integer[32,85]
@attribute F13R integer[12,79]
@attribute F13S integer[6,80]
@attribute F14R integer[8,80]
@attribute F14S integer[17,86]
@attribute F15R integer[13,79]
@attribute F15S integer[7,78]
@attribute F16R integer[39,80]
@attribute F16S integer[9,84]
@attribute F17R integer[28,77]
@attribute F17S integer[16,80]
@attribute F18R integer[18,76]
@attribute F18S integer[13,77]
@attribute F19R integer[33,80]
@attribute F19S integer[18,79]
@attribute F20R integer[11,83]
@attribute F20S integer[6,81]
@attribute F21R integer[5,82]
@attribute F21S integer[8,83]
@attribute F22R integer[11,82]
@attribute F22S integer[4,73]
@attribute OVERALL_DIAGNOSIS {0,1}
@inputs F1R, F1S, F2R, F2S, F3R, F3S, F4R, F4S, F5R, F5S, F6R, F6S, F7R, F7S, F8R, F8S, F9R, F9S, F10R, F10S, F11R, F11S, F12R, F12S, F13R, F13S, F14R, F14S, F15R, F15S, F16R, F16S, F17R, F17S, F18R, F18S, F19R, F19S, F20R, F20S, F21R, F21S, F22R, F22S
@outputs OVERALL_DIAGNOSIS
@data
76, 69, 78, 73, 68, 67, 75, 70, 77, 70, 79, 73, 79, 75, 74, 71, 76, 68, 81, 79, 77, 78, 75, 76, 66, 76, 65, 67, 67, 57, 68, 75, 50, 62, 62, 59, 47, 49, 75, 65, 74, 70, 51, 48, 1
72, 66, 75, 67, 61, 59, 64, 63, 61, 67, 75, 76, 66, 48, 61, 56, 69, 68, 68, 68, 68, 75, 69, 67, 68, 71, 70, 68, 48, 47, 74, 79, 63, 75, 62, 62, 64, 67, 56, 52, 69, 83, 59, 73, 1
66, 81, 75, 72, 69, 67, 74, 81, 67, 73, 76, 75, 69, 64, 58, 57, 74, 74, 56, 62, 74, 78, 55, 50, 37, 38, 65, 73, 61, 61, 73, 73, 61, 63, 67, 66, 60, 71, 46, 58, 35, 37, 24, 20, 1
70, 66, 66, 68, 71, 69, 64, 61, 68, 67, 50, 53, 73, 71, 73, 63, 71, 73, 80, 81, 82, 82, 67, 71, 52, 47, 67, 64, 66, 67, 66, 75, 58, 62, 65, 65, 71, 67, 70, 71, 67, 64, 52, 53, 1
77, 79, 79, 77, 74, 76, 76, 81, 65, 68, 66, 66, 74, 73, 72, 68, 67, 73, 63, 62, 72, 67, 76, 69, 68, 64, 64, 61, 69, 68, 73, 75, 70, 66, 64, 70, 70, 70, 73, 76, 79, 73, 65, 63, 0
67, 65, 77, 74, 67, 66, 67, 70, 65, 64, 75, 78, 66, 74, 62, 60, 65, 65, 73, 72, 75, 76, 74, 81, 66, 65, 65, 63, 63, 67, 76, 80, 63, 64, 63, 64, 73, 72, 76, 75, 72, 74, 65, 64, 0
68, 70, 66, 72, 63, 71, 77, 82, 61, 63, 61, 62, 61, 65, 65, 62, 72, 77, 69, 73, 72, 78, 74, 77, 69, 69, 77, 74, 64, 63, 66, 70, 58, 60, 65, 69, 75, 77, 77, 77, 69, 77, 65, 64, 0
74, 81, 80, 78, 70, 69, 74, 77, 69, 71, 73, 76, 68, 68, 62, 61, 68, 68, 67, 70, 74, 80, 68, 74, 57, 62, 57, 65, 61, 65, 71, 76, 63, 65, 67, 67, 70, 74, 63, 72, 68, 70, 61, 64, 0
67, 64, 73, 75, 77, 77, 74, 70, 65, 62, 74, 75, 65, 67, 68, 70, 66, 69, 67, 60, 74, 75, 62, 64, 66, 71, 62, 61, 64, 69, 73, 76, 64, 66, 61, 64, 65, 60, 68, 75, 74, 80, 67, 68, 0
68, 63, 62, 58, 60, 57, 69, 78, 59, 53, 61, 58, 48, 50, 52, 50, 72, 70, 59, 59, 71, 77, 50, 49, 53, 44, 76, 74, 64, 66, 68, 63, 52, 52, 66, 67, 74, 70, 77, 74, 66, 60, 59, 56, 1
